filament,filament length,filament edist,filament rod length,filament intensity,filament intensity per length,filament bendiness,filament angle,filament density
0.0,325.6331043924671,309.535842919819,0.0,35328.4296875,108.4915176342779,0.0,0.0,0.0457
1.0,37.0,37.0,37.0,2866.84912109375,77.48240867820945,1.0,90.0,0.0457
2.0,496.9261847142034,489.1154441362077,399.00125313086426,46543.2578125,93.66231694807625,0.8029386766172152,90.14359814423119,0.0457
3.0,400.51176003293114,391.4932644442719,389.7447882910046,43270.8671875,108.03894293626273,0.9731169648026284,50.100316345343025,0.0457
4.0,319.07315985291825,286.4954174871035,274.5906043549196,37589.75390625,117.80920063466819,0.8605882252255139,146.88865803962798,0.0457
5.0,408.14902616460165,389.7097345413231,389.7088656933532,66369.5234375,162.61100525261074,0.9548200307016982,100.64674974742351,0.0457
6.0,200.98512319701697,195.88703824209426,188.16216410320115,18126.9765625,90.19063836247678,0.9361994614832958,17.953483017083666,0.0457
7.0,180.94557681801314,177.375380065006,175.2826289168439,13703.9677734375,75.73530126807316,0.9687035847974069,16.57400775690899,0.0457
8.0,142.8047137703065,139.5826922382919,139.2838827718412,15725.8291015625,110.12121859546336,0.9753451345861849,68.96248897457819,0.0457
